key|Env|UserName|Password|CustCorpName|CustCorpAddress|InsTemplate
Inspection_CorpTemplateDefault|dev2|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation Default Corp|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|Default
Inspection_CorpTemplateDefault|stage|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation Default Corp|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|Default

key|Env|UserName|Password|CustCorpName|CustCorpAddress|InsTemplate
Inspection_CorpTemplateVMC|dev2|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation VMC Corp|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|VMC
Inspection_CorpTemplateVMC|stage|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation VMC Corp|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|VMC

key|Env|UserName|Password|CustCorpName|DistCorpName|DistShop|CustSiteName|ConveyorName
Inspection_ListNav|dev2|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation Regression Corp|Dist Automation Regression Corp|Dist Automation Regression India|Cust Automation Regression India|C1 Automation Regression
Inspection_ListNav|stage|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation Regression Corp|Dist Automation Regression Corp|Dist Automation Regression India|Cust Automation Regression India|C1 Automation Regression

key|Env|UserName|Password|CustSiteName|CustSiteAddress|CustCorpName|DistShopName|FullName|TerritoryInd|ConveyorName1|ConveyorName2|ConveyorName3|ConveyorName4|InspectionName1|InspectionName2|InspectionName3|InspectionName4|AssetName|AssetDetail|FailureMode|Condition|AssetName1|AssetDetail1|FailureMode1|Condition1|AssetName2|AssetDetail2|FailureMode2|Condition2|AssetName3|AssetDetail3|FailureMode3|Condition3|Status|ChangeTotal|ChangeTobeComplated|ChangeGood|ChangePoor|ChangeFault|ChangeCritical|NoChange
Inspection_CardSingleInspection|dev2|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation Default India|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|Cust Automation Default Corp|Dist Automation Regression India|QA Ostan Master|India|C1 Inspection Regression|C2 Inspection Regression|C3 Inspection Regression|C4 Inspection Regression|I1 Default Inspection Regression|I2 Default Inspection Regression|I3 Default Inspection Regression|I4 Default Inspection Regression|Counterweight|Pulleys|Damaged|Fault|Conveyor Belt|Belt Wear and tear|Exposed Cords|Poor|Cleaning Equipment|H Type Poly Tips|H Type Cleaner arms bent|Good|Chutes/Load Area|Impact Bed|Missing|Critical|To Be Completed|1|1|0|1|1|1|0
Inspection_CardSingleInspection|stage|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation Default India|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|Cust Automation Default Corp|Dist Automation Regression India|QA Ostan Master|India|C1 Inspection Regression|C2 Inspection Regression|C3 Inspection Regression|C4 Inspection Regression|I1 Default Inspection Regression|I2 Default Inspection Regression|I3 Default Inspection Regression|I4 Default Inspection Regression|Counterweight|Pulleys|Damaged|Fault|Conveyor Belt|Belt Wear and tear|Exposed Cords|Poor|Cleaning Equipment|H Type Poly Tips|H Type Cleaner arms bent|Good|Chutes/Load Area|Impact Bed|Missing|Critical|To Be Completed|1|1|0|1|1|1|0

key|Env|UserName|Password|CustSiteName|CustSiteAddress|CustCorpName|DistShopName|FullName|TerritoryInd|ConveyorName5|AssetName|AssetDetail|Observation|Condition|InspectionName5|AssetName1|AssetDetail1|Condition1|AssetName2|AssetDetail2|Condition2|Observation2|AssetName3|AssetDetail3|Condition3|Status|Observation3|ChangeTotal|ChangeTobeComplated|ChangeGood|ChangePoor|ChangeFault|ChangeCritical|NoChange
Inspection_CardMultiInspection|dev2|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation VMC India|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|Cust Automation VMC Corp|Dist Automation Regression India|QA Ostan Master|India|C5 Inspection Regression|Other Pulleys|Counterweight|Damaged|Fault|I5 VMC Inspection Regression|Belt Alignment|Head Pulley|Good|Drive Pulley|Primary Cleaner Condition|Critical|Pulley needs repair|Idlers|Broken/Frozen|Critical|To Be Completed|Condition is getting worse|1|3|0|0|1|2|0
Inspection_CardMultiInspection|stage|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation VMC India|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|Cust Automation VMC Corp|Dist Automation Regression India|QA Ostan Master|India|C5 Inspection Regression|Other Pulleys|Counterweight|Damaged|Fault|I5 VMC Inspection Regression|Belt Alignment|Head Pulley|Good|Drive Pulley|Primary Cleaner Condition|Critical|Pulley needs repair|Idlers|Broken/Frozen|Critical|To Be Completed|Condition is getting worse|1|3|0|0|1|2|0

key|Env|UserName|Password|CustCorpName|CustCorpAddress|InsTemplate
Ins_001|dev2|oston.prithesh.dsouza-ext@continental.com|Abc@123456|Cust Automation TC Corp|Berlin Brandenburg Airport, Willy-Brandt-Platz, Schönefeld, Germany|TOTAL CONVEYANCE
